surname,name,year_birth,gender,legislature
Fosson,Pietro Francesco,1912,M,"I, III, IV, V, VI"
Foudraz,Raffaella,1968,F,XVI
Fournier,Ferruccio,1939,M,VI
Frassy,Dario,1961,M,"XI, XII"
Freppaz,Emilio,1909,M,V
Fresia,Luigi,1898,M,"CLN, I"
Ganis,Christian,1973,M,XVI
Gerardin,Elso,1957,M,"XIV, XV"
Germano,Pietro,1920,M,"IV, V"
Gex,Corrado,1932,M,III
Gheis,Francesco,1926,M,IV
Gremmo,Roberto,1950,M,IX
Grosjacques,Giulio,1962,M,XVI
Grosjean,Vincenzo,1954,M,XIV
Guerraz,Aldo,1913,M,CLN
Guglielminetti,Carlo Felice,1913,M,III
Guichardaz,Erika,1976,F,XVI
Guichardaz,Jean-Pierre,1966,M,"XIV, XVI"
Impérial,Hélène,1976,F,XIII
Isabellon,Giuseppe,1953,M,"XII, XIII, XIV"
Jordan,Corrado,1973,M,XVI
Jorrioz,Giorgio,1916,M,VI
La Torre,Leonardo,1957,M,"XI, XII, XIII, XIV"
Lanièce,Albert,1966,M,XIII
Lanièce,André,1954,M,"X, XI, XII, XIII, XIV"
Lanièce,Angelo,1941,M,"VII, VIII, IX"
Lanivi,Ilario,1939,M,"VI, VII, VIII, IX,  X"
Lattanzi,Massimo,1958,M,"XI, XII, XIII"
Laurent,Giuseppe,1908,M,II
Lavevaz,Erik,1980,M,"XV, XVI"
Lavoyer,Claudio,1952,M,"IX, X, XI, XII, XIII"
Lavy,Erik,1995,M,XVI
Lévèque,Massimo,1959,M,X
Limonet,Renato,1946,M,IX
Linty,Paolo,1966,M,X
Louvin,Roberto,1960,M,"IX, X, XI, XIII"
Luboz,Roberto,1968,M,XV
Lucat,Clemente Giuseppe Luigi,1905,M,III
Lucianaz,Diego,1963,M,"XV, XVI"
Lustrissy,Ferruccio,1930,M,"IV, V, VI, VII"
Macheda,Domenico,1921,M,"IV, V"
Machet,Mario,1913,M,III
Mafrica,Demetrio,1943,M,"VII, VIII, IX, X"
Maghetti,Carlo,1922,M,V
Malacrinò,Antonino,1977,M,XVI
Manfrin,Andrea Fabrizio,1983,M,"XV, XVI"
Manganone,Eraldo,1933,M,"IV, V, VI, VII"
Manganoni,Claudio,1913,M,"CLN, I, II, III, IV, V, VI"
Mappelli,Angelo,1932,M,"IV, V, VI, VII"
Maquignaz,Amato,1946,M,"VII, VIII, IX"
Maquignaz,Gabriele,1972,M,"XII, XIII"
Maquignaz,Giuseppe,1925,M,"IV, V, VI"
Marchese,Giovanni,1893,M,I
Marchiando,Michele,1911,M,II
Marcoz,Ettore,1943,M,"VI, VII, VIII, IX"
Marcoz,Oreste,1905,M,"III, IV"
Marguerettaz,Aurelio,1963,M,"XII, XIII, XIV, XVI"
Marguerettaz,Rudi,1957,M,"X, XI"
Marquis,Pierluigi,1964,M,"XIV, XV, XVI"
Martin,Maurizio,1949,M,"VII, VIII, IX, XI"
Martinet,Antonio,1915,M,III
Marzi,Carlo,1975,M,"XV, XVI"
Maschio,Giovanni,1906,M,"II, III"
Mathamel,Giovanni Amato,1901,M,I
Milanesio,Bruno,1942,M,"V, VI, IX"
Millet,Ruggero,1945,M,VIII
Minelli,Chiara,1966,F,"XV, XVI"
Minuzzo,Pietro,1947,M,VII
Monami,Cristina,1948,F,IX
Monami,Luigi,1921,M,VI
Montesano,Giuseppe,1907,M,"III, IV, V"
